Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Exon/CD	chr4	000042147	000043684	FBtr0308297	PlexB-RB	-	+0863	NA	NA	NA
Exon/CD	chr4	000052190	000052416	FBtr0089178	ci-RA	-	+4028	NA	NA	NA
Intron	chr4	000052526	000052916	FBtr0089178	ci-RA	-	+3610	NA	NA	NA
Intron	chr4	000053987	000055414	FBtr0089178	ci-RA	-	+1631	NA	NA	NA
5'UTR	chr4	000055655	000056394	FBtr0089178	ci-RA	-	+0307	NA	NA	NA
Intron	chr4	000056656	000057014	FBtr0333704	CR43957-RA	+	+0338	NA	NA	NA
Intron	chr4	000060231	000060636	FBtr0333704	CR43957-RA	+	+3936	NA	NA	NA
Exon/CD	chr4	000065764	000067163	FBtr0308296	RpS3A-RF	-	+0744	NA	NA	NA
5'UTR	chr4	000069391	000071543	FBtr0089162	pan-RD	+	+0062	NA	NA	NA
Intron	chr4	000127807	000129479	FBtr0300497	Ank-RE	-	+1206	NA	NA	NA
Upstream	chr4	000129967	000130216	FBtr0089171	Ank-RC	-	-0337	NA	NA	NA
Upstream	chr4	000130897	000131515	FBtr0089451	CG32000-RG	+	-1014	NA	NA	NA
Upstream	chr4	000131665	000132069	FBtr0089451	CG32000-RG	+	-0353	NA	NA	NA
Upstream	chr4	000132278	000134359	FBtr0333703	CR43956-RA	-	-0444	NA	NA	NA
5'UTR	chr4	000134925	000137677	FBtr0089449	CG32000-RA	+	+0029	NA	NA	NA
Intron	chr4	000154897	000156067	FBtr0345283	CG31997-RB	-	+0578	NA	NA	NA
Upstream	chr4	000156418	000157070	FBtr0089154	CG31997-RA	-	-0684	NA	NA	NA
Exon/CD	chr4	000173932	000175856	FBtr0334300	CG33978-RG	-	+0246	NA	NA	NA
Downstream	chr4	000175923	000176142	FBtr0345198	CR45198-RA	+	+0577	NA	NA	NA
Intron	chr4	000178141	000179286	FBtr0308248	Arl4-RB	-	+0676	NA	NA	NA
Intron	chr4	000191926	000193682	FBtr0089148	CG2316-RB	-	+1025	NA	NA	NA
Intron	chr4	000204228	000205727	FBtr0308249	CG31998-RB	-	+0968	NA	NA	NA
Intron	chr4	000210423	000211407	FBtr0304871	Crk-RD	+	+0691	NA	NA	NA
Exon/CD	chr4	000225649	000225982	FBtr0089144	CG31999-RA	-	+0141	NA	NA	NA
5'UTR	chr4	000226058	000226341	FBtr0344870	CG31999-RC	-	+1549	NA	NA	NA
Exon/CD	chr4	000308307	000309738	FBtr0333679	Rad23-RC	+	+0929	NA	NA	NA
Intron	chr4	000312746	000313882	FBtr0089133	Zip102B-RB	-	+0599	NA	NA	NA
Upstream	chr4	000314476	000314692	FBtr0089123	CG32850-RA	+	-0339	NA	NA	NA
Intron	chr4	000315099	000316588	FBtr0333680	CG32850-RB	+	+0920	NA	NA	NA
Intron	chr4	000356663	000358665	FBtr0304048	PMCA-RQ	-	+0993	NA	NA	NA
Upstream	chr4	000358765	000359551	FBtr0300559	PMCA-RN	-	-0501	NA	NA	NA
Exon/CD	chr4	000360210	000361451	FBtr0334479	Hcf-RF	+	+0892	NA	NA	NA
Exon/CD	chr4	000442716	000443841	FBtr0089111	lgs-RA	-	+0633	NA	NA	NA
5'UTR	chr4	000445347	000448096	FBtr0089067	CaMKI-RA	+	+0143	NA	NA	NA
Intron	chr4	000465573	000466791	FBtr0089110	bip2-RA	-	+0646	NA	NA	NA
Upstream	chr4	000466895	000467196	FBtr0089110	bip2-RA	-	-0217	NA	NA	NA
Intron	chr4	000467505	000468927	FBtr0333916	pncr013	+	+0719	NA	NA	NA
Intron	chr4	000480855	000483408	FBtr0332906	Asator-RI	-	+3902	NA	NA	NA
Intron	chr4	000486171	000486431	FBtr0344869	Asator-RL	-	+2693	NA	NA	NA
Upstream	chr4	000501219	000501467	FBtr0332913	zfh2-RC	+	-0467	NA	NA	NA
Intron	chr4	000501879	000506587	FBtr0307167	zfh2-RB	+	+2423	NA	NA	NA
Intron	chr4	000506686	000507564	FBtr0307167	zfh2-RB	+	+5315	NA	NA	NA
Intron	chr4	000507745	000509308	FBtr0307167	zfh2-RB	+	+6716	NA	NA	NA
Intron	chr4	000554105	000559361	FBtr0345197	Thd1-RC	-	+1121	NA	NA	NA
Exon/CD	chr4	000569421	000570792	FBtr0089105	ND-49-RA	-	+0684	NA	NA	NA
Intron	chr4	000571291	000571580	FBtr0333676	ND-49-RB	-	+0119	NA	NA	NA
Intron	chr4	000571982	000573498	FBtr0089075	Ephrin-RA	+	+0985	NA	NA	NA
Exon/CD	chr4	000606342	000606599	FBtr0310610	onecut-RB	-	+1179	NA	NA	NA
